antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,certainty_factor,item_set
"NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps), Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card","SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)",0.0010114632501685772,0.0010114632501685772,0.0010114632501685772,1.0,988.6666666666666,1.0,0.0010104401922621357,inf,1.0,1.0,1.0,1.0,1.0,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card'})"
"SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)","NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps), Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card",0.0010114632501685772,0.0010114632501685772,0.0010114632501685772,1.0,988.6666666666666,1.0,0.0010104401922621357,inf,1.0,1.0,1.0,1.0,1.0,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)'})"
"16 FT Inflatable Projector Movie Screen for Outside Indoor 124"" Front/Rear Projection Mega Blow Up Screen for Super Bowl Party Backyard Outdoor Movie Night Barbecue Pool Party (Stable Base)","NexFoto 32GB Large 15 inch Digital Picture Frame, Wi-Fi Digital Photo Frame, Wall-Mountable, Instantly Share Photos Videos via App or Email, Gift for Father's Day",0.0010114632501685772,0.0010114632501685772,0.0010114632501685772,1.0,988.6666666666666,1.0,0.0010104401922621357,inf,1.0,1.0,1.0,1.0,1.0,"frozenset({'16 FT Inflatable Projector Movie Screen for Outside Indoor 124"" Front/Rear Projection Mega Blow Up Screen for Super Bowl Party Backyard Outdoor Movie Night Barbecue Pool Party (Stable Base)', ""NexFoto 32GB Large 15 inch Digital Picture Frame, Wi-Fi Digital Photo Frame, Wall-Mountable, Instantly Share Photos Videos via App or Email, Gift for Father's Day""})"
"NexFoto 32GB Large 15 inch Digital Picture Frame, Wi-Fi Digital Photo Frame, Wall-Mountable, Instantly Share Photos Videos via App or Email, Gift for Father's Day","16 FT Inflatable Projector Movie Screen for Outside Indoor 124"" Front/Rear Projection Mega Blow Up Screen for Super Bowl Party Backyard Outdoor Movie Night Barbecue Pool Party (Stable Base)",0.0010114632501685772,0.0010114632501685772,0.0010114632501685772,1.0,988.6666666666666,1.0,0.0010104401922621357,inf,1.0,1.0,1.0,1.0,1.0,"frozenset({'16 FT Inflatable Projector Movie Screen for Outside Indoor 124"" Front/Rear Projection Mega Blow Up Screen for Super Bowl Party Backyard Outdoor Movie Night Barbecue Pool Party (Stable Base)', ""NexFoto 32GB Large 15 inch Digital Picture Frame, Wi-Fi Digital Photo Frame, Wall-Mountable, Instantly Share Photos Videos via App or Email, Gift for Father's Day""})"
"USB Flash Drive Bulk 10 Pack, Exmapor 2GB USB Thumb Drive Swivel Metal Shell Memory Stick with LED Indicator Lanyards Mix Colors","ROOFULL External CD DVD Drive USB 3.0 Type-C Portable DVD/CD ROM +/-RW Optical Drive Player Burner with Protective Storage Carrying Case for Apple Mac MacBook Pro/Air, Windows 11/10 Laptop PC, White",0.0010114632501685772,0.0013486176668914363,0.0010114632501685772,1.0,741.5,1.0,0.0010100991729599885,inf,0.9996625042186973,0.75,1.0,0.875,1.0,"frozenset({'USB Flash Drive Bulk 10 Pack, Exmapor 2GB USB Thumb Drive Swivel Metal Shell Memory Stick with LED Indicator Lanyards Mix Colors', 'ROOFULL External CD DVD Drive USB 3.0 Type-C Portable DVD/CD ROM +/-RW Optical Drive Player Burner with Protective Storage Carrying Case for Apple Mac MacBook Pro/Air, Windows 11/10 Laptop PC, White'})"
"DYMO LabelWriter 5XL Label Printer, Automatic Label Recognition, Prints Extra-Wide Shipping Labels (UPS, FedEx, USPS) from Amazon, eBay, Etsy, Poshmark, and More, Perfect for eCommerce Sellers","Cobra Smart Dash Cam + Rear Cam (SC 200D) – QHD+ 1600P Resolution, Built-in Wi-Fi & GPS, Voice Commands, Live Police Alerts, Incident Reports, Emergency Mayday, Drive Smarter App, 16GB SD Card Incl.",0.0010114632501685772,0.0013486176668914363,0.0010114632501685772,1.0,741.5,1.0,0.0010100991729599885,inf,0.9996625042186973,0.75,1.0,0.875,1.0,"frozenset({'DYMO LabelWriter 5XL Label Printer, Automatic Label Recognition, Prints Extra-Wide Shipping Labels (UPS, FedEx, USPS) from Amazon, eBay, Etsy, Poshmark, and More, Perfect for eCommerce Sellers', 'Cobra Smart Dash Cam + Rear Cam (SC 200D) – QHD+ 1600P Resolution, Built-in Wi-Fi & GPS, Voice Commands, Live Police Alerts, Incident Reports, Emergency Mayday, Drive Smarter App, 16GB SD Card Incl.'})"
"Ethernet Cable 25 ft Cat 7 [10Gbps High Speed Shielded Anti-Monitoring Cables], ODOM STP Internet Patch Cord, Data Safe LAN Cables for Bitcoin Miner PS5 Xbox Gaming MacBook Pro/Air Router Modem Laptop","TBMax Cat 8 Ethernet Cable 25 ft, High Speed Cat8 40Gbps 2000MHz LAN Cord with Gold Plated RJ45 Connectors, S/FTP Shielded Network Patch Cable for Gaming/Xbox/Modem/Router -White",0.0010114632501685772,0.0013486176668914363,0.0010114632501685772,1.0,741.5,1.0,0.0010100991729599885,inf,0.9996625042186973,0.75,1.0,0.875,1.0,"frozenset({'Ethernet Cable 25 ft Cat 7 [10Gbps High Speed Shielded Anti-Monitoring Cables], ODOM STP Internet Patch Cord, Data Safe LAN Cables for Bitcoin Miner PS5 Xbox Gaming MacBook Pro/Air Router Modem Laptop', 'TBMax Cat 8 Ethernet Cable 25 ft, High Speed Cat8 40Gbps 2000MHz LAN Cord with Gold Plated RJ45 Connectors, S/FTP Shielded Network Patch Cable for Gaming/Xbox/Modem/Router -White'})"
"SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2), Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card","NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)",0.0010114632501685772,0.0016857720836142953,0.0010114632501685772,1.0,593.2,1.0,0.0010097581536578414,inf,0.9993250084373946,0.6000000000000001,1.0,0.8,1.0,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)'})"
"SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)","NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)",0.0010114632501685772,0.0016857720836142953,0.0010114632501685772,1.0,593.2,1.0,0.0010097581536578414,inf,0.9993250084373946,0.6000000000000001,1.0,0.8,1.0,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)'})"
"SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2), NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)","Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card",0.0010114632501685772,0.0023600809170600135,0.0010114632501685772,1.0,423.7142857142857,1.0,0.0010090761150535468,inf,0.9986500168747889,0.4285714285714286,1.0,0.7142857142857143,1.0,"frozenset({'SABRENT Rocket 32GB DDR4 SO-DIMM 3200MHz Memory Kit (2x16GB) for Laptop, Ultrabook, and Mini-PC (SB-DDR16X2)', 'Lexar E-Series 128GB Micro SD Card 2 Pack, microSDXC UHS-I Flash Memory Card with Adapter, 100MB/s, C10, U3, A1, V30, Full HD, 4K UHD, High Speed TF Card', 'NETGEAR Orbi Pro WiFi 6 Tri-Band Mesh System (SXK50), Router with 1 Satellite Extender for Business or Home, VLAN, QoS, Coverage up to 5,000 sq. ft, 75 Devices, AX5400 802.11 AX (up to 5.4Gbps)'})"
